product_id,product_name,category,subcategory,brand,price_npr,rating,review_count,festival_relevance,in_stock,price_tier,popularity_count,view,wishlist,purchase,conversion_rate,category_enc,price_tier_enc,festival_enc
1,Himalaya Perfume #1,Beauty & Personal Care,Perfume,Himalaya,5618,4.5,34,Tihar,False,Premium,461,397,59,36,0.09045226130653267,0,2,2
2,Himalaya Sunscreen #2,Beauty & Personal Care,Sunscreen,Himalaya,5187,5.0,278,Tihar,True,Premium,477,395,63,38,0.09595959595959595,0,2,2
3,Levi's Shoes #3,Fashion,Shoes,Levi's,4741,4.6,163,Tihar,False,Mid,360,295,43,38,0.12837837837837837,1,1,2
4,Garnier Sunscreen #4,Beauty & Personal Care,Sunscreen,Garnier,6282,4.7,575,Tihar,True,Premium,440,375,39,39,0.10372340425531915,0,2,2
5,Himalaya Perfume #5,Beauty & Personal Care,Perfume,Himalaya,4919,3.9,36,Tihar,True,Mid,446,388,46,34,0.08740359897172237,0,1,2
6,Asus Smart Watches #6,Electronics,Smart Watches,Asus,83137,4.0,35,Dashain,True,Luxury,295,286,13,10,0.03484320557491289,2,3,1
7,Biotique Men's Grooming #7,Beauty & Personal Care,Men's Grooming,Biotique,2638,4.5,9,Tihar,True,Mid,481,413,59,34,0.0821256038647343,0,1,2
8,Generic Power Banks #8,Phone Accessories,Power Banks,Generic,5522,4.2,80,Dashain,True,Premium,402,329,55,35,0.10606060606060606,3,2,1
9,Anker Earbuds #9,Phone Accessories,Earbuds,Anker,6000,4.3,417,Dashain,True,Premium,388,344,47,19,0.05507246376811594,3,2,1
10,Apple Cameras #10,Electronics,Cameras,Apple,59865,4.2,28,Dashain,True,Luxury,325,323,9,2,0.006172839506172839,2,3,1
11,Belkin Earbuds #11,Phone Accessories,Earbuds,Belkin,5105,4.6,11,Dashain,True,Premium,399,350,50,24,0.06837606837606838,3,2,1
12,Oppo Smart Watches #12,Electronics,Smart Watches,Oppo,150000,3.6,13,Dashain,True,Luxury,301,305,8,4,0.013071895424836602,2,3,1
13,Cosco Outdoor Gear #13,Sports & Fitness,Outdoor Gear,Cosco,15886,4.8,20,Dashain,True,Premium,587,498,75,47,0.09418837675350701,4,2,1
14,Baseus Cables #14,Phone Accessories,Cables,Baseus,2058,2.7,10,Dashain,False,Mid,425,364,52,39,0.10684931506849316,3,1,1
15,Nivea Haircare #15,Beauty & Personal Care,Haircare,Nivea,3371,4.4,31,Tihar,True,Mid,430,367,41,42,0.11413043478260869,0,1,2
16,Cosco Gym Equipment #16,Sports & Fitness,Gym Equipment,Cosco,17342,4.6,40,Dashain,True,Premium,616,546,72,43,0.07861060329067641,4,2,1
17,Samsung Speakers #17,Electronics,Speakers,Samsung,52846,4.9,30,Dashain,True,Luxury,310,301,10,11,0.03642384105960265,2,3,1
18,Generic Chargers #18,Phone Accessories,Chargers,Generic,2245,4.3,11,Dashain,True,Mid,363,303,41,29,0.09539473684210527,3,1,1
19,Xiaomi Cameras #19,Electronics,Cameras,Xiaomi,103059,3.9,56,Dashain,True,Luxury,327,325,7,9,0.027607361963190184,2,3,1
20,Wrangler Jeans #20,Fashion,Jeans,Wrangler,4563,4.3,272,Tihar,True,Mid,439,383,40,32,0.08333333333333333,1,1,2
21,Allen Solly Shoes #21,Fashion,Shoes,Allen Solly,2862,4.2,97,Tihar,True,Mid,397,329,55,35,0.10606060606060606,1,1,2
22,Xiaomi Speakers #22,Electronics,Speakers,Xiaomi,121300,4.3,12,Dashain,True,Luxury,303,297,6,7,0.02348993288590604,2,3,1
23,Asus Headphones #23,Electronics,Headphones,Asus,98005,4.0,355,Dashain,True,Luxury,297,288,9,12,0.04152249134948097,2,3,1
24,Cottonworld Kurta #24,Fashion,Kurta,Cottonworld,8178,4.4,137,Tihar,True,Premium,398,334,57,32,0.0955223880597015,1,2,2
25,Levi's Ethnic Wear #25,Fashion,Ethnic Wear,Levi's,5981,4.2,74,Tihar,True,Premium,418,358,44,36,0.10027855153203342,1,2,2
26,Anker Screen Protectors #26,Phone Accessories,Screen Protectors,Anker,6000,4.4,34,Dashain,True,Premium,408,347,50,27,0.07758620689655173,3,2,1
27,Anker Cases #27,Phone Accessories,Cases,Anker,6000,4.5,63,Dashain,True,Premium,405,351,40,27,0.07670454545454546,3,2,1
28,Cosco Gym Equipment #28,Sports & Fitness,Gym Equipment,Cosco,20744,3.9,172,Dashain,True,Luxury,593,564,41,22,0.03893805309734513,4,3,1
29,Dove Perfume #29,Beauty & Personal Care,Perfume,Dove,3477,4.2,169,Tihar,True,Mid,475,415,51,35,0.08413461538461539,0,1,2
30,Belkin Cases #30,Phone Accessories,Cases,Belkin,6000,4.4,57,Dashain,True,Premium,390,338,43,30,0.08849557522123894,3,2,1
31,Wrangler Shoes #31,Fashion,Shoes,Wrangler,3092,4.1,113,Tihar,True,Mid,397,341,39,34,0.09941520467836257,1,1,2
32,Baseus Cables #32,Phone Accessories,Cables,Baseus,5121,4.2,64,Dashain,True,Premium,434,364,59,31,0.08493150684931507,3,2,1
33,Oppo Tablets #33,Electronics,Tablets,Oppo,92204,3.9,105,Dashain,True,Luxury,327,323,9,10,0.030864197530864196,2,3,1
34,Himalaya Skincare #34,Beauty & Personal Care,Skincare,Himalaya,5069,4.2,35,Tihar,True,Premium,429,366,47,33,0.08991825613079019,0,2,2
