user_id,age,gender,city,income_level,device_type,remittance_receiver,preferred_category,signup_date,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment,top_category,wishlist_rate,category_diversity,avg_shop_hour,is_festival_shopper,gender_enc,income_enc,device_enc,remittance_enc,festival_enc
1,25,Female,Pokhara,Low,Mobile,True,Home & Kitchen,2022-06-22,72.0,10,142649.0,5.0,2.0,2.0,9.0,Loyal,Home & Kitchen,0.05714285714285714,6,11.428571428571429,True,1,0,0,1,1
2,23,Female,Biratnagar,Low,Tablet,False,Fashion,2022-02-08,366.0,0,0.0,1.0,1.0,1.0,3.0,At Risk,Fashion,0.0,6,10.35,True,1,0,2,0,1
3,22,Male,Bhaktapur,Medium,Mobile,False,Electronics,2023-03-04,28.0,2,25731.0,5.0,1.0,1.0,7.0,Potential,Phone Accessories,0.24242424242424243,6,13.121212121212121,True,0,1,0,0,1
4,22,Male,Lalitpur,Medium,Desktop,True,Phone Accessories,2023-01-16,42.0,7,45242.0,5.0,2.0,1.0,8.0,Potential,Phone Accessories,0.09433962264150944,6,10.471698113207546,True,0,1,1,1,1
5,22,Female,Kathmandu,Low,Desktop,False,Beauty & Personal Care,2022-12-13,78.0,4,45776.0,4.0,1.0,1.0,6.0,Potential,Beauty & Personal Care,0.05333333333333334,6,13.293333333333333,True,1,0,1,0,1
6,24,Male,Kathmandu,Medium,Mobile,True,Phone Accessories,2022-08-05,47.0,7,69855.0,5.0,2.0,1.0,8.0,Potential,Phone Accessories,0.10810810810810811,6,12.621621621621621,True,0,1,0,1,1
7,26,Male,Bhaktapur,Medium,Mobile,False,Beauty & Personal Care,2022-06-09,85.0,3,38620.0,4.0,1.0,1.0,6.0,Potential,Beauty & Personal Care,0.10294117647058823,6,12.5,True,0,1,0,0,1
8,19,Female,Dharan,Medium,Desktop,True,Electronics,2024-04-27,178.0,4,46996.0,3.0,1.0,1.0,5.0,At Risk,Electronics,0.07894736842105263,6,10.618421052631579,True,1,1,1,1,1
9,23,Male,Kathmandu,Medium,Mobile,False,Phone Accessories,2022-05-16,68.0,1,6000.0,5.0,1.0,1.0,7.0,Potential,Phone Accessories,0.16666666666666666,4,11.083333333333334,True,0,1,0,0,1
10,22,Male,Butwal,Low,Tablet,False,Electronics,2023-10-18,366.0,0,0.0,1.0,1.0,1.0,3.0,At Risk,Electronics,0.07142857142857142,6,10.392857142857142,True,0,0,2,0,1
11,27,Female,Kathmandu,Low,Mobile,False,Beauty & Personal Care,2022-02-19,167.0,2,27463.0,3.0,1.0,1.0,5.0,At Risk,Beauty & Personal Care,0.0,6,9.181818181818182,True,1,0,0,0,1
12,27,Male,Kathmandu,Low,Mobile,False,Phone Accessories,2022-02-16,17.0,4,16312.0,5.0,1.0,1.0,7.0,Potential,Phone Accessories,0.014705882352941176,6,11.661764705882353,True,0,0,0,0,1
13,23,Male,Biratnagar,Medium,Mobile,False,Phone Accessories,2022-05-26,366.0,0,0.0,1.0,1.0,1.0,3.0,At Risk,Fashion,0.1111111111111111,6,14.444444444444445,False,0,1,0,0,0
14,27,Male,Lalitpur,Low,Mobile,True,Phone Accessories,2022-12-06,1.0,3,10074.0,5.0,1.0,1.0,7.0,Potential,Phone Accessories,0.06666666666666667,6,11.133333333333333,True,0,0,0,1,1
15,24,Female,Kathmandu,Medium,Mobile,True,Electronics,2022-12-28,366.0,0,0.0,1.0,1.0,1.0,3.0,At Risk,Sports & Fitness,0.0,6,11.88888888888889,True,1,1,0,1,1
16,18,Male,Kathmandu,High,Desktop,False,Home & Kitchen,2024-02-25,8.0,2,20120.0,5.0,1.0,1.0,7.0,Potential,Fashion,0.18518518518518517,6,13.666666666666666,True,0,2,1,0,1
17,22,Female,Bhaktapur,Medium,Desktop,False,Electronics,2022-02-11,282.0,1,54753.0,2.0,1.0,1.0,4.0,At Risk,Electronics,0.0,6,12.357142857142858,False,1,1,1,0,0
18,25,Male,Lalitpur,Medium,Desktop,True,Phone Accessories,2024-05-21,17.0,17,193539.0,5.0,3.0,2.0,10.0,Loyal,Phone Accessories,0.1099476439790576,6,11.193717277486911,True,0,1,1,1,1
19,19,Male,Lalitpur,High,Mobile,False,Phone Accessories,2022-11-05,14.0,4,48874.0,5.0,1.0,1.0,7.0,Potential,Phone Accessories,0.13725490196078433,6,13.137254901960784,True,0,2,0,0,1
20,22,Male,Hetauda,High,Mobile,False,Fashion,2024-04-26,17.0,6,87202.0,5.0,2.0,1.0,8.0,Potential,Fashion,0.20408163265306123,6,12.10204081632653,True,0,2,0,0,1
21,24,Male,Kathmandu,High,Mobile,True,Phone Accessories,2023-10-14,182.0,3,36914.0,3.0,1.0,1.0,5.0,At Risk,Beauty & Personal Care,0.14285714285714285,6,11.571428571428571,True,0,2,0,1,1
22,30,Other,Kathmandu,Medium,Desktop,True,Beauty & Personal Care,2022-12-09,112.0,3,8508.0,4.0,1.0,1.0,6.0,Potential,Beauty & Personal Care,0.07142857142857142,6,13.5,True,2,1,1,1,1
23,28,Female,Bhaktapur,Low,Desktop,False,Fashion,2023-11-29,220.0,2,20235.0,3.0,1.0,1.0,5.0,At Risk,Fashion,0.125,6,12.875,True,1,0,1,0,1
24,19,Male,Pokhara,Medium,Mobile,False,Electronics,2023-03-09,105.0,6,155614.0,4.0,2.0,2.0,8.0,Potential,Electronics,0.09090909090909091,6,11.414141414141413,True,0,1,0,0,1
25,20,Female,Lalitpur,High,Mobile,False,Electronics,2022-01-11,49.0,3,9161.0,5.0,1.0,1.0,7.0,Potential,Beauty & Personal Care,0.027777777777777776,6,11.666666666666666,True,1,2,0,0,1
